code,industry,market
4528,Electrical machinery,otc
4533,Electrical machinery,otc
4534,Electrical machinery,otc
4535,Electrical machinery,otc
4538,Electrical machinery,otc
4543,Electrical machinery,otc
4549,Electrical machinery,otc
4550,Electrical machinery,otc
4558,Electrical machinery,otc
4561,Electrical machinery,otc
4563,Electrical machinery,otc
4568,Electrical machinery,otc
4580,Electrical machinery,otc
4584,Electrical machinery,otc
5381,Electrical machinery,otc
6122,Electrical machinery,otc
6125,Electrical machinery,otc
6425,Electrical machinery,otc
6603,Electrical machinery,otc
6609,Electrical machinery,otc
6843,Electrical machinery,otc
6982,Electrical machinery,otc
7642,Electrical machinery,otc
7709,Electrical machinery,otc
7718,Electrical machinery,otc
8027,Electrical machinery,otc
8083,Electrical machinery,otc
8107,Electrical machinery,otc
8255,Electrical machinery,otc
9951,Electrical machinery,otc
2061,Electric wire & cable,otc
1742,Chemicals,otc
3430,Chemicals,otc
4706,Chemicals,otc
4707,Chemicals,otc
4711,Chemicals,otc
4714,Chemicals,otc
4716,Chemicals,otc
4721,Chemicals,otc
4741,Chemicals,otc
4754,Chemicals,otc
4767,Chemicals,otc
4768,Chemicals,otc
4772,Chemicals,otc
6509,Chemicals,otc
1565,Biotech & medical,otc
1777,Biotech & medical,otc
1781,Biotech & medical,otc
1784,Biotech & medical,otc
1788,Biotech & medical,otc
1799,Biotech & medical,otc
1813,Biotech & medical,otc
3118,Biotech & medical,otc
3176,Biotech & medical,otc
3205,Biotech & medical,otc
3218,Biotech & medical,otc
4102,Biotech & medical,otc
4105,Biotech & medical,otc
4107,Biotech & medical,otc
4109,Biotech & medical,otc
4111,Biotech & medical,otc
4114,Biotech & medical,otc
4116,Biotech & medical,otc
4120,Biotech & medical,otc
4121,Biotech & medical,otc
4123,Biotech & medical,otc
4126,Biotech & medical,otc
4127,Biotech & medical,otc
4128,Biotech & medical,otc
4129,Biotech & medical,otc
4131,Biotech & medical,otc
4138,Biotech & medical,otc
4147,Biotech & medical,otc
4153,Biotech & medical,otc
4160,Biotech & medical,otc
4161,Biotech & medical,otc
4162,Biotech & medical,otc
4163,Biotech & medical,otc
4166,Biotech & medical,otc
4167,Biotech & medical,otc
4168,Biotech & medical,otc
4173,Biotech & medical,otc
4174,Biotech & medical,otc
4175,Biotech & medical,otc
4183,Biotech & medical,otc
4188,Biotech & medical,otc
4192,Biotech & medical,otc
4198,Biotech & medical,otc
4726,Biotech & medical,otc
4728,Biotech & medical,otc
4735,Biotech & medical,otc
4743,Biotech & medical,otc
